Date,TSLA,AAPL,MSFT,ARKK,AMZN,GOOG,NFLX,NVDA,FB,SPY,IWM,BABA,V,VOO,ARKQ,ETH-USD,BTC-USD
2021-11-03,404.6199951171875,150.64584350585938,331.2259826660156,123.61946868896484,169.1999969482422,146.7899932861328,688.2899780273438,265.7669677734375,331.6199951171875,457.79266357421875,235.607666015625,166.24000549316406,206.6355438232422,420.6788330078125,87.92240142822266,4607.19384765625,62970.046875
2021-11-04,409.9700012207031,150.11878967285156,333.6457214355469,123.37151336669922,173.85000610351562,148.68299865722656,668.4000244140625,297.7713317871094,335.8500061035156,459.9500427246094,235.5188446044922,164.7899932861328,207.31076049804688,422.6480712890625,88.54743957519531,4537.32421875,61452.23046875
2021-11-05,407.36334228515625,150.6565704345703,333.26885986328125,121.28871154785156,175.94949340820312,149.24099731445312,645.719970703125,297.28167724609375,341.1300048828125,461.5458679199219,238.73739624023438,158.72999572753906,215.14523315429688,424.0856018066406,88.07121276855469,4486.2431640625,61125.67578125
2021-11-08,387.64666748046875,149.82005310058594,334.1911315917969,122.3896255493164,174.44900512695312,149.35150146484375,651.4500122070312,307.79327392578125,338.6199951171875,461.9399108886719,239.4778594970703,162.16000366210938,218.93833923339844,424.59759521484375,89.1327896118164,4812.08740234375,67566.828125
2021-11-09,341.1666564941406,150.18850708007812,333.1597900390625,119.58279418945312,178.81149291992188,149.24850463867188,655.989990234375,306.324462890625,335.3699951171875,460.4129943847656,238.0857696533203,160.19000244140625,211.88832092285156,423.1108093261719,86.91043090820312,4735.06884765625,66971.828125
2021-11-10,355.98333740234375,147.3104248046875,328.05255126953125,115.5857925415039,174.1024932861328,146.62600708007812,646.9099731445312,294.3540344238281,327.6400146484375,456.7090759277344,234.33407592773438,163.97000122070312,214.4198455810547,419.70404052734375,85.6107406616211,4636.17431640625,64995.23046875
2021-11-11,354.5033264160156,147.2606201171875,329.66900634765625,116.37923431396484,173.625,146.7480010986328,657.5800170898438,303.6565856933594,327.739990234375,456.8568420410156,236.2198028564453,167.85000610351562,209.30702209472656,419.8418884277344,86.45404815673828,4730.38427734375,64949.9609375
2021-11-12,344.47332763671875,149.37188720703125,333.9233703613281,117.51982116699219,176.25750732421875,149.64549255371094,682.6099853515625,303.6565856933594,340.8900146484375,460.30462646484375,236.45675659179688,166.80999755859375,210.96820068359375,422.9631652832031,86.81121826171875,4667.115234375,64155.94140625
2021-11-15,337.7966613769531,149.3818359375,333.2787780761719,116.56768035888672,177.28399658203125,149.38800048828125,679.3300170898438,300.009521484375,347.55999755859375,460.4622802734375,235.5188446044922,166.5399932861328,211.17709350585938,423.1600646972656,86.61279296875,4557.50390625,63557.87109375
2021-11-16,351.57666015625,150.3777313232422,336.6902160644531,117.94630432128906,177.03500366210938,149.0760040283203,687.4000244140625,301.7880859375,342.9599914550781,462.28466796875,235.95323181152344,168.42999267578125,214.04183959960938,424.77484130859375,87.60491943359375,4216.365234375,60161.24609375
2021-11-17,363.0033264160156,152.8574676513672,336.918701171875,115.76432037353516,177.4499969482422,149.06199645996094,691.6900024414062,292.3756103515625,340.7699890136719,461.16168212890625,232.86300659179688,161.5800018310547,203.9753875732422,423.7508239746094,86.75169372558594,4287.59375,60368.01171875
2021-11-18,365.4599914550781,157.2194061279297,339.05474853515625,112.8880615234375,184.80299377441406,150.70899963378906,682.02001953125,316.4963073730469,338.69000244140625,462.72802734375,231.87570190429688,143.60000610351562,202.25453186035156,425.2179260253906,85.82901000976562,4000.65087890625,56942.13671875
2021-11-19,379.0199890136719,159.8883819580078,340.8828125,112.31280517578125,183.82850646972656,149.95249938964844,678.7999877929688,329.5858154296875,345.29998779296875,461.9005126953125,229.76290893554688,140.33999633789062,199.79759216308594,424.42034912109375,85.58097839355469,4298.306640625,58119.578125
2021-11-22,385.6233215332031,160.35643005371094,337.62408447265625,107.60169982910156,178.6284942626953,147.07850646972656,659.2000122070312,319.30401611328125,341.010009765625,460.6001892089844,228.78549194335938,136.6199951171875,194.5455322265625,423.29791259765625,83.17010498046875,4088.457763671875,56289.2890625
2021-11-23,369.6766662597656,160.7448272705078,335.4880676269531,105.09241485595703,179.0019989013672,146.7570037841797,654.0599975585938,317.2057189941406,337.25,461.2109375,228.3905792236328,133.66000366210938,197.4401397705078,423.84930419921875,82.31687927246094,4340.763671875,57569.07421875
2021-11-24,372.0,161.2726593017578,335.716552734375,106.8875961303711,179.02049255371094,146.71749877929688,658.2899780273438,326.4782409667969,341.05999755859375,462.4422912597656,228.63739013671875,136.52000427246094,202.17494201660156,424.89300537109375,83.80506896972656,4239.9814453125,56280.42578125
2021-11-26,360.6400146484375,156.16378784179688,327.53997802734375,106.242919921875,175.22799682617188,142.80599975585938,665.6400146484375,314.77764892578125,333.1199951171875,452.12835693359375,220.01832580566406,133.35000610351562,196.6045684814453,415.6474304199219,81.7811279296875,4030.908935546875,53569.765625
2021-11-29,378.9966735839844,159.57965087890625,334.44488525390625,106.0445556640625,178.07850646972656,146.11399841308594,663.8400268554688,333.4926452636719,338.0299987792969,457.6744689941406,219.88009643554688,131.61000061035156,195.2517547607422,420.6689453125,82.3863296508789,4445.10498046875,57806.56640625
2021-11-30,381.586669921875,164.61880493164062,328.4440612792969,104.82463073730469,175.35350036621094,142.45199584960938,641.9000244140625,326.4982604980469,324.4599914550781,448.76922607421875,215.3977813720703,127.52999877929688,192.74510192871094,412.61480712890625,81.51325225830078,4631.47900390625,57005.42578125
